device_name,device_type,eq_variant,data_source,score_before_eq,score_with_eq,preamp_db,num_filters,filter_index,filter_type,fc_hz,gain_db,q,generator_version,generated_at,source_file
AKG K701,headphone,flat,,,,-1.6,7,7,PK,3374.0,3.36,3.6,,,headphone_eq/AKG K701/iir-autoeq-flat.txt
AKG K701,headphone,score,,,,-1.6,7,1,PK,76.0,1.28,4.23,,,headphone_eq/AKG K701/iir-autoeq-score.txt
AKG K701,headphone,score,,,,-1.6,7,2,PK,160.0,1.12,2.65,,,headphone_eq/AKG K701/iir-autoeq-score.txt
AKG K701,headphone,score,,,,-1.6,7,3,PK,166.0,-5.77,0.91,,,headphone_eq/AKG K701/iir-autoeq-score.txt
AKG K701,headphone,score,,,,-1.6,7,4,PK,353.0,-4.49,0.75,,,headphone_eq/AKG K701/iir-autoeq-score.txt
AKG K701,headphone,score,,,,-1.6,7,5,PK,1379.0,2.75,2.57,,,headphone_eq/AKG K701/iir-autoeq-score.txt
AKG K701,headphone,score,,,,-1.6,7,6,PK,2286.0,-7.08,3.72,,,headphone_eq/AKG K701/iir-autoeq-score.txt
AKG K701,headphone,score,,,,-1.6,7,7,PK,5901.0,-5.7,4.24,,,headphone_eq/AKG K701/iir-autoeq-score.txt
AKG N700nc m2,headphone,flat,,,,-4.3,7,1,PK,85.0,-3.79,1.06,,,headphone_eq/AKG N700nc m2/iir-autoeq-flat.txt
AKG N700nc m2,headphone,flat,,,,-4.3,7,2,PK,90.0,2.68,2.88,,,headphone_eq/AKG N700nc m2/iir-autoeq-flat.txt
AKG N700nc m2,headphone,flat,,,,-4.3,7,3,PK,206.0,2.34,2.57,,,headphone_eq/AKG N700nc m2/iir-autoeq-flat.txt
AKG N700nc m2,headphone,flat,,,,-4.3,7,4,PK,365.0,-2.05,0.5,,,headphone_eq/AKG N700nc m2/iir-autoeq-flat.txt
AKG N700nc m2,headphone,flat,,,,-4.3,7,5,PK,1460.0,-1.58,4.05,,,headphone_eq/AKG N700nc m2/iir-autoeq-flat.txt
AKG N700nc m2,headphone,flat,,,,-4.3,7,6,PK,2369.0,2.41,2.66,,,headphone_eq/AKG N700nc m2/iir-autoeq-flat.txt
AKG N700nc m2,headphone,flat,,,,-4.3,7,7,PK,3243.0,3.45,1.26,,,headphone_eq/AKG N700nc m2/iir-autoeq-flat.txt
AKG N700nc m2,headphone,score,,,,-5.1,7,1,PK,89.0,-3.63,0.75,,,headphone_eq/AKG N700nc m2/iir-autoeq-score.txt
